BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","bonneuil2019a1","Bonneuil, Christophe","Seeing Nature as a ‘universal store of genes’: How biological diversity became ‘genetic resources’, 1890-1940","Studies in History and Philosophy of Science",75,,"6","1–14",2019,"","","","","","","","","","","","","","","","","","article","",""
7,"","bonneuil2019b","Bonneuil, Christophe; Magalhaes, Nelo; Le Roux, Thomas; Fressoz, Jean-Baptiste; Jarrige, François; Levillain, Gaëtan; Lyautey, Margot & Noblet, Guillaume","The Physical Economy of France (1830-2015). The History of a Parasite ?","Ecological Economics",157,157,"","291–300",2019,"","","","","","","","","","","","","","","","","","article","",""
7,"","bortz2019b","Bortz, Olof","Därför är det amerikanska imperiet en dold historia" [L'histoire occultée de l'Empire americain","Dagens Nyheter",,,"12","",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
7,"","bortz2019a","Bortz, Olof","Förintelsen och det byråkratiska våldets historia" [L'Holocauste et l'histoire de la violence bureaucratique","Fronesis",62–63,,"","99–103",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
7,"","bothereau2019a","Bothereau, Benjamin","Adaptations et résistances au mode d’éclairage public parisien : les traductions différenciées de Barcelone et Madrid","Quaderns d’Historia de l’Enginyeria",XVII,,"","39–66,",2019,"","","https://upcommons.upc.edu/handle/2117/175578","","","","","","","","","","","","","","","article","",""
7,"","bothereau2019b","Bothereau, Benjamin","Jeux de lumières et d’obscurités de la lanterne publique : entre renforcements sécuritaires et limites des innovations techniques (Paris, Barcelone, 18e siècle)","Journal of Energy History",2,,"4","",2019,"","","http://www.energyhistory.eu/fr/special/lumieres-et-obscurites","","","","","","","","","","","","","","","article","",""
10,"","boudjaaba-a","Boudjaaba, Fabrice","Recension. Jeremy Hayhoe, Strangers and neighbours: Rural migration in Eighteenth Century Northern Burgundy in French History","",,,"","",,"","","https://academic.oup.com/fh/advance-articleabstract/doi/10.1093/fh/crz105/5651297?redirectedFrom=fulltext","","","","","","","","","","","","","","","compterendu","",""
7,"","boudjaaba2019a","Boudjaaba, Fabrice","Introduction. Le mariage dans le pourtour méditerranéen de l’Europe : du modèle à la comparaison","Bulletin de correspondance hellénique moderne et contemporain",I,,"","",2019,"","","https://journals.openedition.org/bchmc/276","","","","","","Ecole française d'Athènes open edition Web","","","","","","","","","article","",""
5,"","bourdelais2019b","Bourdelais, Patrice","Indicateurs et comparaisons : l’exemple du vieillissement de la population","",,,"","107–124",2019,"Paris","","","Penser le vieillissement en Méditerranée. Données, processus et liens sociaux","","","","Blöss-Widmer, Isabelle & Blöss, Thierry","Karthala","","","","","","","","","chap","",""
5,"","bourdelais2019a","Bourdelais, Patrice","Longer and better lives : The European fountain of youth","",,,"","1–12",2019,"Evora","","http://books.openedition.org/cidehus/8378","Health, Care and Government Policy","","","","Abreu, Laurinda","Cidehus","","","","","","","","","chap","",""
5,"","brayard2019a","Brayard, Florent","¿Hilberg? ¡Segundo piso!","",,,"","2019–249",2019,"Barcelone","Postface","","Memorias de un historiador del Holocausto","","","","Hilberg, Raul","Arpa","","","","","","","","","prefpostface","",""
7,"","bruhns2019b1","Bruhns, Hinnerk",""Politics as Vocation": A contribution to Germany’s democratisation in 1919 ?","Journal of Classical Sociology",19,4,"11","316–330",2019,"","","","","","","","","","","","","","","","","","article","",""
7,"","bruhns2019a1","Bruhns, Hinnerk","A la recherche de quelle modernité ? De Shmuel N. Eisenstadt à Max Weber","Revue européenne des sciences sociales",57,1,"","105–126",2019,"","","","","","","","","","","","","","","","","","article","",""
5,"","bruhns2019c2","Bruhns, Hinnerk","Er kann gar nicht genug Welt in sich schlingen: Max Weber auf Reisen","",,,"","IX - XIX",2019,"Tübingen","Introduction","","Max Weber. Reisebriefe","","","","Aldenhoff-Hübinger, Rita & Hanke, Edith","Mohr-Siebeck","","","","","","","","","chap","",""
7,"","bruhns2019a","Bruhns, Hinnerk","La these de doctorat "disparue" de Talcott Parsons, publiée 90 ans après sa soutenance », Talcott Parsons, Kapitalismus bei Max Weber – zur Rekonstruktion eines fast vergessenen Themas. Herausgegeben, eingeleitet und kommentiert von Uta Gerhardt, Wiesbaden : Springer VS 2019 [2018]","Revue d’histoire des sciences humaines",34,,"","285–288",2019,"","","","","","","","","","","","","","","","","","compterendu","",""
7,"","bruhns2019c1","Bruhns, Hinnerk","Le paradoxe de la "fabrique des hommes politiques", ou : Max Weber, Bismarck et les chefs de parti au parlement","SocietàMutamentoPolitica. Rivista italiana di sociologia",10,20,"","27–38",2019,"","","","","","","","","","","","","","","","","","article","",""
5,"","bruhns2019b2","Bruhns, Hinnerk","Le sociologue et la guerre : Max Weber (1914-1919)","",,,"","75–92",2019,"Paris","","","Strasbourg, creuset des sociologies allemandes et françaises","","","Logiques sociales","Pfefferkorn, Roland & Guth, Suzie","L'Harmattan","","","","","","","","","chap","",""
7,"","bruhns2019c","Bruhns, Hinnerk","M. I. Finley. An Ancient Historian and his Impact. Edited by Daniel Jew, Robin Osborne, Michael Scott. Cambridge, Cambridge University Press, 2016, xviii, 333 pages, ISBN 978-1-107-14926-7","Anabases",30,,"","244–246",2019,"","","","","","","","","","","","","","","","","","compterendu","",""
5,"","bruhns2019d","Bruhns, Hinnerk","Max Weber: política, guerra - ¿y religión?","",,,"","55–70",2019,"Barcelona","","","Viejos dioses, nuevos dioses. Política y religión a partir de Max Weber","","","","Lambruschini, Patricia; Trovero, Juan Ignacio & Weisz, Eduardo","Anthropos Editorial","","","","","","","","","chap","",""
5,"","bruhns2019a2","Bruhns, Hinnerk","Max Weber’s Analysis of Capitalism","",,,"","47–68",2019,"Oxford","","","The Oxford Handbook of Max Weber","","","","Hanke, Edith; Scaff, Lawrence A. & Whimster, Sam","Oxford University Press","","","","","","","","","chap","",""
7,"","bruhns2019b","Bruhns, Hinnerk","Recension. Gangolf Hübinger (dir.) — Max Weber Gesamtausgabe II. Tome 1: Briefe 1875-1886 (éd. réalisée en collaboration avec Thomas Gerhards et Uta Hinz), Tübingen, J.C.B. Mohr (Paul Siebeck), 2017. Rita Aldenhoff-Hübinger (dir.) — Max Weber Gesamtausgabe II. Tome 2: Briefe 1887-1894 (éd. réalisée en collaboration avec Thomas Gerhards et Sybille Oßwald-Bargende), Tübingen, J.C.B. Mohr (Paul Siebeck) 2017","L'Année sociologique",69,1,"","1-6",2019,"","","https://www.cairn.info/revue-l-annee-sociologique-2019-1-page-e1.htm","","","","","","","","","","","","","","","compterendu","",""
7,"","bruhns2018a","Bruhns, Hinnerk","Max Weber and the Problem of a ‘Successful Peace’","Simmel Studies. New Series",22,2,"","35–70",2018,"","","","","","","","","","","","","","","","","","article","",""
7,"","bruhns2018b","Bruhns, Hinnerk & Aldenhoff-Hübinger, Rita","Enquêtes rurales et industrielles : le chemin de Max Weber vers la sociologie","Les Études Sociales",167-168,,"","335–362",2018,"","","","","","","","","","","","","","","","","","article","",""
7,"","canal2019c2","Canal, Jordi","¿Historias mundiales?","El País",suppl. Babelia,,"5","14",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
7,"","canal2019f","Canal, Jordi","¿Todos somos nacionalistas? Compte rendu. Ferran Archilés, éd., No sólo cívica. Nación y nacionalismo cultural español, Valence, Tirant Humanidades, 2018; Jorge Cagiao y Conde, Micronacionalismos. ¿No seremos todos nacionalistas?, Madrid, Los Libros de La Catarata, 2018; Xosé M. Núñez Seixas, Suspiros de España. El nacionalismo español, 1808-2018, Barcelone, Crítica, 2018; Alejandro Quiroga et Ferran Archilés, éd., Ondear la nación. Nacionalismo banal en España, Grénade, Comares, 2018; Eric Storm, La Construcción de identidades regionales en España, Francia y Alemania, 1890-1939, Madrid, Ediciones Complutense, 2019","La Aventura de la Historia",252,,"","84–85",2019,"","","","","","","","","","","","","","","","","","compterendu","",""
7,"","canal2019g","Canal, Jordi","Compte rendu. Josep Antoni Duran Lleida, El riesgo de la verdad. Memoria de una pasión política: desde el final del franquismo al colapso del independentismo, Barcelone, Planeta, 2019","Cuadernos de pensamiento político",64,,"","99–103",2019,"","","","","","","","","","","","","","","","","","compterendu","",""
7,"","canal2019i","Canal, Jordi","El poder curva el tiempo. Compte rendu. Christopher Clark, Tiempo y poder. Visiones de la historia, desde la guerra de los Treinta Años hasta el Tercer Reich, Barcelone, Galaxia Gutenberg, 2019","El País-Babelia",,,"11","6",2019,"","","","","","","","","","","","","","","","","","compterendu","",""
7,"","canal2019a5","Canal, Jordi","El reparto del pastel. Compte rendu. Borja de Riquer, Joan Lluís Pérez Francesch, Gemma Rubí, Lluís Ferran Toledano et Oriol Luján (dirs.), La corrupción política en la España contemporánea. Un enfoque interdisciplinar, Madrid, Marcial Pons, 2018","La Aventura de la Historia",,,"","245",2019,"","","","","","","","","","","","","","","","","","compterendu","",""
7,"","canal2019f2","Canal, Jordi","El último gran gaullista","El País",,,"9","7",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
7,"","canal2019b2","Canal, Jordi","Encuentros y desencuentros. Compte rendu. John H. Elliott, Catalanes y escoceses. Unión y discordia, Barcelone, Taurus, 2018","Revista de Libros",,,"3","",2019,"","","https://www.revistadelibros.com/resenas/john-h-elliott-catalanes-y-escoceses-union-y-discordia-jordi-canal?&utm_source=newsletter&utm_medium=email&utm_campaign=nl20190327","","","","","","","","","","","","","","","compterendu","",""
5,"","canal2019a4","Canal, Jordi","Exílios e exilados na história da Espanha","",2,,"","157–194",2019,"Porto Alegre","","","Educaçâo clandestina. Educaçao e culturas politicas","","","","Silveira, Sila & Marcos Villela Pereira, Cheron Zanini Moretti","EDIPUCRS","","","","","","","","","chap","",""
7,"","canal2019a","Canal, Jordi","Gli storici e il processo indipendentista in Catalogna","Il Mulino",1,19,"","83–90",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
7,"","canal2019d","Canal, Jordi","La guerra no es solo una cosa de hombres. Compte rendu. Manuel Santirso Rodríguez et Alberto Guerrero Martín, éd., Mujeres en la guerra y en los ejércitos, Madrid, Los Libros de la Catarata, 2019","La Aventura de la Historia",250,,"","87",2019,"","","","","","","","","","","","","","","","","","compterendu","",""
7,"","canal2019e","Canal, Jordi","La historia continúa. Compte rendu. Georges Duby, œuvres, Paris, Gallimard, 2019, et Guillermo el Mariscal, Madrid, Alianza Editorial, 2019; Emmanuel Le Roy Ladurie, Montaillou, aldea occitana, Madrid, Taurus, 2019, et Jean Delumeau, El Miedo en Occidente, Madrid, Taurus, 2019","El País-Babelia",,,"9","4",2019,"","","","","","","","","","","","","","","","","","compterendu","",""
7,"","canal2019e2","Canal, Jordi","La Monarquía de mañana","El Mundo",,,"6","",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
1,"","canal2019a1","Canal, Jordi","La Monarquía en el siglo XXI","",,,"","",2019,"Madrid","","","","","","","","Turner","","","","","","","","","monographie","",""
7,"","canal2019b","Canal, Jordi","La monarquía en la España contemporánea","La Aventura de la Historia",247,,"","12–13",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
7,"","canal2019d2","Canal, Jordi","La otra transición del Rey","El País",suppl. Ideas,,"6","3",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
7,"","canal2019a3","Canal, Jordi","Los historiadores, el nacionalismo y el proceso independentista en Cataluña","Escripta",1,,"","28–36",2019,"","","","","","","","","","","","","","","","","","article","",""
7,"","canal2019c1","Canal, Jordi","Nacionalismo y "derechos históricos". Compte rendu. José M. Portillo Valdés, Entre tiros e historia. La constitución de la autonomía vasca (1976-1979), Barcelone, Galaxia Gutenberg, 2018","La Aventura de la Historia",249,,"","88",2019,"","","","","","","","","","","","","","","","","","compterendu","",""
5,"","canal2019b1","Canal, Jordi","Prefaci : Josep Berga i Boix, el tradicionalisme i la memòria del carlisme","",,,"","9–14",2019,"Olot","","","Josep Berga i Boix. El Casal del Roure, Records de la darrera guerra carlista (Obres Completes, 4)","","","","Casacuberta Rocarols, Margarida","Edicions Municipals","","","","","","","","","prefpostface","",""
5,"","canal2019a2","Canal, Jordi","Prólogo","",,,"","9–16",2019,"Saragosse","","","Banderas del rey. Los realistas y las guerras de España en América (1810-1823)","","","","Boscán, Ángel Rafael Lombardi","Prensas de la Universidad de Zaragoza","","","","","","","","","prefpostface","",""
7,"","canal2019h","Canal, Jordi","Una oportunidad perdida. Compte rendu : de Pierre Serna, Como animales. Historia política de los animales durante la Revolución francesa (1750-1840), Saragosse, Prensas de la Universidad de Zaragoza, 2019","La Aventura de la Historia",253,,"","86",2019,"","","","","","","","","","","","","","","","","","compterendu","",""
7,"","cerutti2019a","Cerutti, Simona","Entretien","Diversité",196,,"9","32–35",2019,"","","","","","","","","","","","","","","","","","vulgarisation","",""
7,"","giordana2018a","Charuty, Giordana; Dittmar, Pierre-Olivier; Schmitt, Jean-Claude & Koering, Jérémie","Des images faites pour être détruites","Perspective",,,"","19–36",2018,"","","","","","","","","","","","","","","","","","article","",""
5,"","pierre2019a","Chastang, Pierre & Debiais, Vincent","La liste médiévale : une technique matérielle et cognitive","",,,"","5–14",2019,"Paris","","","Le Pouvoir des listes au Moyen Âge. Écritures des listes","","","","Angotti, Claire; Chastang, Pierre; Debiais, Vincent & Kendrick, Laura","","","","","","","","","","chap","",""
5,"","jean-michel2019a","Chevet, Jean-Michel & Béaur, Gérard","Les incertitudes de la croissance. Y a-t-il eu un modèle français du développement agricole ?","",,,"","271–296",2019,"Paris","","","Histoire rurale de l’Europe (XVIe-XXe siècles)","","","","Herment, Laurent","Éditions de l'EHESS","","","","","","","","","chap","",""
6,"","ciucu2019b","Ciucu, Cristina","A New Methodology for the Description of Manuscripts (Material and Textual Aspects) Applied to Hebrew Manuscripts","",,,"","267–279",2019,"Hilversum","","","Proceedings of the Conference Medieval Documents as Artefacts, 1100-1600","","","","","Verloren","","","","","","","","","chap","",""
5,"","ciucu2019a","Ciucu, Cristina","Acculturation néolibérale. L’uniformisation du monde et ses racines intellectuelles","",,,"","97–108",2019,"Paris","","","Concerter les civilisations. Mélanges en l'honneur d'Alain Supiot","","","","","Seuil","","","","","","","","","chap","",""
7,"","cohen2019a","Cohen, Yves","Les "gilets jaunes" parmi les mouvements sans leader des années 2010","AOC media",,,"2","",2019,"","","https://aoc.media/analyse/2019/02/21/gilets-jaunes-parmi-mouvements-leader-annees-2010/.","","","","","","","","","","","","","","","vulgarisation","",""
7,"","cohen-a","Cohen, Yves","Les foules raisonnables. Notes sur les mouvements sans parti ni leader des années 2010 et leur rapport avec le XXe siècle","Politika",,,"","",2018,"","","https://www.politika.io/fr/notice/foules-raisonnables-notes-mouvements-parti-leader-annees-2010-leur-rapport-xxe-siecle","","","","","","","","","","","","","","","article","",""
5,"","cosandey2019b","Cosandey, Fanny","Analyse politique du cycle de Rubens","",10,,"","373–387",2019,"","","","Memento Marie. Regards sur la galerie Médicis","","","Héritages critiques","Wampfler, Valérie & Hénin, Emmanuelle","Editions et Presses Universitaires de Reims","","","","","","","","","chap","",""
5,"","cosandey2019a","Cosandey, Fanny","Marie-Antoinette, reine de France","",,,"","29–37",2019,"Paris","","","Marie-Antoinette, métamorphoses d’une image","","","","Baecque, Antoine","Editions du patrimoine","","","","","","","","","chap","",""
1,"","dakhlia2019a1","Dakhlia, Jocelyne","Al-Islâm wa’l Gharb","",,,"","",2019,"Casablanca, Maroc","","","","","","","","Fondation Ibn Saud","","","","","","","","","monographie","",""
5,"","dakhlia2019c","Dakhlia, Jocelyne","Circulations féminines et appartenances croisées en Méditerranée","",,,"","157–171",2019,"","","","Vingt-cinq ans après : les femmes au rendez-vous de l’histoire","","","","Asquer, E.","Ecole Française de Rome","","","","","","","","","chap","",""
5,"","dakhlia2019a2","Dakhlia, Jocelyne","Harems and Cathedrals : The Question of Gender and Sexuality in the Work of Marshall Hodgson","",,,"","117–144",2019,"","","","Marshall Hodgson : Islam and Global History","","","","Burke, E. & Mankin, R.","University of Chicago Press","","","","","","","","","chap","",""
