Identifiant 0,Sexe 1,Nom1 2,Nom2 3,Prénom 4,Statut 5,Signature 6,co-auteurs CRH 7,co-auteurs extérieurs 8,Objet 9,Titre 10,Revue 11,Direction 12,livre collectif 13,ouvrage préfacé 14,Dédicataire 15,Dictionnaire 16,Date 17,Lieu 18,Éditeur 19,Collection 20,Série 21,Organisme 22,Langue 23,nombre de pages 24
17,m,JOUHAUD,,Christian,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,La méthode de François Garasse,,L. Giard et L. de Vaucelles,"Les Jésuites à l'âge baroque, 1540-1640",,,,1996,Grenoble,Editions Jérôme Million,,,,français,18
18,m,JULIA,,Dominique,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,La violence des foules : peut-on élucider l'inhumain ?,,D.Julia et J.Boutier,Passés recomposé recomposés. Champs et chantiers de l'histoire,,,,1995,Paris,Autrement,,,,français,16
19,m,JULIA,,Dominique,Directeur de recherche CNRS,2,,J. Boutier,contribution dans un livre collectif,Ouverture. A quoi pensent les historiens ?,,D.Julia et J.Boutier,Passés recomposé recomposés. Champs et chantiers de l'histoire,,,,1995,Paris,Autrement,,,,français,41
20,m,JULIA,,Dominique,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,Le modèle méritocratique entre Ancien Régime et Révolution,,"B. Belhoste, A. Dahan Dalmedico, D. Pestre et A. Picon",La France des X. Deux siècles d'histoire,,,,1995,Paris,Economica,,,,français,18
21,m,JULIA,,Dominique,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,L'éducation des négociants en France au XVIIIe siècle,,F. Angiolini et D. Roche,Cultures et formations négociantes dans l'Europe moderne,,,,1995,Paris,EHESS,,,,français,42
22,m,JULIA,,Dominique,Directeur de recherche CNRS,1,,,contribution dans des Mélanges,"Les pèlerinages de Pierre Bernard, maître d'école amiénois (1730-1764)",,Brigitte Maillard,"Foi, fidélité, amitié en Europe à l'époque moderne. Mélanges offerts à Robert Sauzet",,Robert Sauzet,,1995,Tours,Publications de l'université de Tours,,,,français,19
23,m,JULIA,,Dominique,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,Un voyage pédagogique sous la Révolution : les vacances des pensionnaires de l'École centrale de l'Eure en l'an VIII,,J. Glénisson et S. Le Men,Le Livre d'enfance et de jeunesse en France,,,,1994,Bordeaux,Société des bibliophiles de Guyenne,,,,français,32
24,m,BRAUNSTEIN,,Philippe,Directeur d'études EHESS,1,,,article dans des actes de colloque,Les mines anciennes entre Lyonnais et Briançonnais : bilan et perpectives de recherches,,,"Actes du 108e Congrès National des Sociétés Savantes Les ressources minérales et l'histoire de leur exploitation, Grenoble 1983",,,,1986,Paris,,,,,français,13
25,m,POMIAN,,Krzysztof,Directeur de recherche CNRS,1,,,article dans une revue,Nomenklatura,Le Débat,,,,,,1989,,,,,,français,2
26,m,JULIA,,Dominique,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,"Eglises, société, éducation à l'époque moderne. La transformation des collèges au XVIe et XVIIe siècles",,?,"Pédagogie chrétienne pédagogues chrétiens,",,,,1996,Paris,Editions Don Bosco,,,,français,24
27,m,POMIAN,,Krzysztof,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,Krize buducnosti (La crise de l'avenir),,K.Michalski,O krizi,,,,1987,,Novi Sad,,,,polonais,19
28,m,POMIAN,,Krzysztof,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,"Gênes, Naples, Venise : trois destins",,F.Viatte,Escales du baroque,,,,1988,Paris,,,,,français,8
29,m,POMIAN,,Krzysztof,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,Europa und seine Nationen,,K.Michalski,Europa und die Folgen,,,,1988,Stuttgart,,,,,allemand,33
30,m,POMIAN,,Krzysztof,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,Le narrazioni del passato,,G.Barbieri et P.Vidali,La ragione possibile. Per una geografia della cultura,,,,1988,Milan,,,,,italien,12
31,m,POMIAN,,Krzysztof,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,Cultura e autonomia umana,,M.Ceruti et E.Laszlo,Physis : abitare la terra,,,,1988,Milan,,,,,italien,24
32,m,LE GOFF,,Jacques,Directeur d'études EHESS,1,,,article dans des actes de colloque,Le concile et la prise de conscience de l'espace de la Chrétienté,,,"Actes du colloque : 1274, Année charnière : mutations et continuité",,,,1977,Paris,CNRS,,,,français,
33,m,GOY,,Joseph,Directeur d'études EHESS,1,,,contribution dans des Mélanges,A propos du 'système de la coutume' : problématiques en évolution,,,"L'Histoire grande ouverte. Pour Emmanuel Le Roy Ladurie,",,Emmanuel Le Roy Ladurie,,1997,Paris,,,,,français,
34,m,GOY,,Joseph,Directeur d'études EHESS,1,,,contribution dans des Mélanges,"L'exploitation agricole au regard de la législation française, du code civil (1804) à la loi d'orientation agricole (1980) : un retard français ?",,,"Entrepreneurship and the Transformation of the Economy (10th-20th Centuries). Essays in Honour of Herman Van der Wee,",,Herman van der Wee,,1994,Louvain,Leuven University Press,,,,français,8
35,m,POMIAN,,Krzysztof,Directeur de recherche CNRS,1,,,article dans une revue,Fabre (Jean),Le Débat,,,,,,1989,,,,,,français,1
36,m,WACHTEL,,Nathan,Directeur d'études EHESS,1,,,contribution dans un livre collectif,Le système d'irrigation des Chipayas,,?,Anthropologie des populations andines,,,,1976,Paris,INSERM,,,,français,30
37,f,GREEN,,Nancy,Directeur d'études EHESS,1,,,contribution dans un livre collectif,"Modes comparatifs dans le regard de l'autre : Récits de voyages chez Chateaubriand et Arthur Young,",,M. Godet,"De Russie et d'ailleurs : Mélanges Marc Ferro,",,,,1995,Paris,Institut d'études slaves,,,,français,12
38,f,KLAPISCH,ZUBER,Christiane,Directeur d'études EHESS,1,,,contribution dans un livre collectif,Les femmes dans les rituels de l'alliance et de la naissance à Florence,,"J. Chiffoleau, L. Martines et A. Paravicini Bagliani",Riti e rituali nelle società medievali,,,,1994,Spolète,Centro italiano di studi sull'alto medioevo,,,,français,20
39,f,KLAPISCH,ZUBER,Christiane,Directeur d'études EHESS,1,,,contribution dans un livre collectif,Les femmes et la mort à la fin du Moyen Age,,S. Toussaint,"Ilaria del Carretto e il suo monumento. La donna nell'arte, la cultura e la società del '400",,,,1995,Lucques,Istituo storico lucchese,,,,français,15
40,f,KLAPISCH,ZUBER,Christiane,Directeur d'études EHESS,1,,,contribution dans un livre collectif,La construction de l'identité sociale. Les magnats dans la Florence de la fin du Moyen Age,,B. Lepetit,Les Formes de l'expérience. Une autre histoire sociale,,,,1995,Paris,Albin Michel,,,,français,14
41,f,GOLDBERG,,Sylvie-Anne,Maître de conférences EHESS,1,,,article dans des actes de colloque,A la recherche du corps perdu,,,"Le Corps, Colloque des Intellectuels juifs",,,,1996,Paris,Albin Michel,,,,français,18
42,f,GOLDBERG,,Sylvie-Anne,Maître de conférences EHESS,1,,,contribution dans un livre collectif,Paragraphs on Jewish Time,,?,Greeks and Jews : The Dialogue Throughout Generations,,,,1996,Saint-Petersbourg,,,,,anglais,10
43,f,KLAPISCH,ZUBER,Christiane,Directeur d'études EHESS,1,,,contribution dans un livre collectif,Family Trees and the Construction of Kinship in Renaissance Italy,,"M. J. Maynes, B. Soland, U. Strasser et A. Waltner","Gender, Kinship, Power. A comparative and interdisciplinary history",,,,1996,New York/Londres,Routledge,,,,anglais,14
44,m,CHARTIER,,Roger,Maître assistant EHESS,1,,,contribution dans un livre collectif,La Monarchie d'Argot entre le mythe et l'histore,,"B.Vincent, A.Farge, F.Raison",Les marginaux et les exclus dans l'histoire,,,,1979,Paris,UGE,10/18,,,français,37
45,f,FONTANON,,Claudine,Maître de conférences EHESS,1,,,contribution dans un livre collectif,Conviction républicaine pour une fondation,,"C.Fontanon, M.Le Moel et R.Saint-Paul","Le Conservatoire national des arts et métiers au coeur de Paris,",,,,1997,Paris,Délégation à l'action artistique de la ville de Paris,,,,français,9
46,f,KLAPISCH,ZUBER,Christiane,Directeur d'études EHESS,1,,,contribution dans un livre collectif,"Les coffres de mariage et les plateaux d'accouchée à Florence : archive, ethnologie, iconographie",,S. Deswaerte-Rosa,A travers l'image. Lecture iconographique et sens de l'oeuvre,,,,1994,Paris,Klincksieck,,,,français,15
47,m,GRENIER,,Jean-Yves,Chargé de recherche CNRS,1,,,contribution dans un livre collectif,De la richesse à la valeur : les métamorphoses d'une notion au XVIII° siècle,,J. Berchtold et M. Porret,Être riche au siècle de Voltaire,,,,1996,Genève,Droz,,,,français,29
48,f,RIBAUCOURT,,Colette,Chef de travaux EHESS,1,,,article dans des actes de colloque,Le Concile de Lyon et les Conflits intérieurs des ordres mendiants,,,"Colloque 1274, année charnière, mutations et continuités",,,,1977,Paris,CNRS,,,,français,
49,m,GUERREAU,,Alain,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,Notes métrologiques sur Saint-Bénigne de Dijon et Saint-Pierre de Genève (XIe-XIIIe siècles),,M. Jannet et Ch. Sapin,Guillaume de Volpiano et l'architecture des rotondes,,,,1996,Dijon,,,,,français,16
50,m,GUERREAU,,Alain,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,Quelques caractères spécifiques de l'espace féodal européen,,"N. Bulst, R. Descimon et A. Guerreau",L'Etat ou le Roi. Les fondations de la modernité monarchique en France (XIVe-XVIIe siècles),,,,1996,Paris,,,,,français,17
51,m,POMIAN,,Krzysztof,Directeur de recherche CNRS,1,,,article dans une revue,Dissident,Le Débat,,,,,,1988,,,,,,français,2
52,m,GUERREAU,,Alain,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,Observations métrologiques sur l'abbatiale Saint-Philibert de Tournus,,J. Thirion,"Saint-Philibert de Tournus. Histoire, archéologie, art",,,,1995,Tournus,,,,,français,10
53,m,GUERREAU,,Alain,Directeur de recherche CNRS,1,,,contribution dans des Mélanges,"Remarques sur l'arpentage selon Bertrand Boysset (Arles, vers 1400-1410)",,E. Mornet,Etudes offertes à Robert Fossier,,Robert Fossier,,1995,Paris,,,,,français,16
54,f,GRINBERG,,Martine,Ingénieur d'études CNRS,1,,,contribution dans un livre collectif,La rédaction des coutumes : effets rhétoriques et sociaux,,D. Bourcier et C. Thomasset,L'Ecriture du droit,,,,1996,Paris,Diderot éditeur,,,,français,19
55,f,GRINBERG,,Martine,Ingénieur d'études CNRS,1,,,contribution dans un livre collectif,Le nouage rituel/droit. Les redevances seigneuriales (XIVe-XVIIIe siècles),,"J. Chiffoleau, L. Martines et A. Paravicini Bagliani",Riti e rituali nelle societa,,,,1994,Spolète,Centro italiano de studi sull'alto medioevo,,,,français,15
56,f,GREEN,,Nancy,Directeur d'études EHESS,1,,,contribution dans un livre collectif,"La confection en comparaison : visions réciproques, Paris - New York, 1880-1980",,L. Bergeron,"La Révolution des aiguilles : Habiller les Français et les Américains, 19e-20e siècles,",,,,1996,Paris,EHESS,,,,français,16
57,m,GRIBAUDI,,Maurizio,Directeur d'études EHESS,1,,,contribution dans un livre collectif,Les discontinuités du social. Un modèle configurationnel,,B. Lepetit,Les Formes de l'expérience,,,,1995,Paris,Albin Michel,,,,français,39
58,f,GREEN,,Nancy,Directeur d'études EHESS,1,,,contribution dans un livre collectif,"The Modern Jewish Diaspora : Eastern European Jews in New York, London, and Paris",,D. Hoerder et L. Page Moch,"European Migrants : Global and Local Perspectives,",,,,1996,Boston,Notheastern University Press,,,,anglais,19
59,m,POMIAN,,Krzysztof,Directeur de recherche CNRS,1,,,réédition d'un livre,Histoire des structures,,"J.Le Goff, R.Chartier et J.Revel","La nouvelle histoire, 2e édition",,,,1988,Bruxelles,Ed. Complexe,,,,français,28
60,m,POMIAN,,Krzysztof,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,Une notion ambigüe : Mitteleuropa,,G.Krebs,Mitteleuropa. Pour ou contre l'Europe ?,,,,1988,Paris,,,,,français,4
61,m,GRENIER,,Jean-Yves,Chargé de recherche CNRS,1,,,article dans une revue,Histoire et sociologie. Le dialogue (presque) impossible,Bulletin de l'Institut de Recherche sur le Maghreb contemporain,,,,,,1995,,,,,,français,8
62,m,LE GOFF,,Jacques,Directeur d'études EHESS,2,P. Toubert,,article dans des actes de colloque,Une histoire totale du Moyen Age est-elle possible ?,,,Actes du 100e congrès national des sociétés savantes,,,,1977,,,,,,français,
63,m,GRENIER,,Jean-Yves,Chargé de recherche CNRS,1,,,contribution dans un livre collectif,Expliquer et comprendre. La construction du temps de l'histoire économique,,B. Lepetit,Les Formes de l'expérience,,,,1995,Paris,Albin Michel,,,,français,25
64,m,LE GOFF,,Jacques,Directeur d'études EHESS,1,,,article dans des actes de colloque,Le dossier des mendiants,,,Actes du colloque 1274 Année charnière : mutations et continuité,,,,1977,Paris,CNRS,,,,français,
65,f,GREEN,,Nancy,Directeur d'études EHESS,1,,,contribution dans un livre collectif,"Classe et ethnicité, des catégories caduques de l'histoire sociale ?",,B. Lepetit,"Les Formes de l'expérience : Une autre histoire sociale,",,,,1995,Paris,Albin Michel,,,,français,22
66,m,POMIAN,,Krzysztof,Directeur de recherche CNRS,1,,,contribution dans un livre collectif,L'état et la démocratie,,Ch.Descamps,L'interrogation démocratique,,,,1987,Paris,,,,,français,20
67,m,GRIBAUDI,,Maurizio,Directeur d'études EHESS,1,,,contribution dans un livre collectif,"Echelle, pertinence, configuration",,J. Revel,"Jeux d'échelles,",,,,1996,Paris,Seuil,,,,français,28
68,m,POMIAN,,Krzysztof,Chargé de recherche CNRS,1,,,article de dictionnaire,temporalité historique/temps,,"J.Le Goff, R.Chartier, J.Revel",La nouvelle histoire,,,La nouvelle histoire,1978,Paris,Retz,,,,français,3
69,f,FONTANON,,Claudine,Maître de conférences EHESS,2,D. Pestre,,contribution dans un livre collectif,Les leçons du Dimanche,,"C.Fontanon, M.Le Moel et R.Saint-Paul","Le Conservatoire national des arts et métiers au coeur de Paris,",,,,1994,Paris,Délégation à l'action artistique de la ville de Paris,,,,français,7
70,m,PETER,,Jean-Pierre,Directeur d'études EHESS,2,M.-C. Pouchelle,,contribution dans un livre collectif,"La Célestine assassinée, ou la faillite de l'entremise",,?,La Célestine,,,,1988,Paris,Opéra de Paris,,,,français,14
71,f,DUCREUX,LAKITS,Marie-Elisabeth,Chargé de recherche CNRS,1,,,contribution dans un livre collectif,"Männerbücher und Frauenbücher, Bücher für Männer und für Frauen. Überlegungen zur Andachtsliteratur des 18. Jahrhunderts in Böhmen",,E. Saurer,Die Religion der Geschlechter. Historische Aspekte religiöser Mentalitäten,,,,1995,Vienne/Weimar,Köln/Böhlau,,,,allemand,32
72,f,DUCREUX,LAKITS,Marie-Elisabeth,Chargé de recherche CNRS,1,,,contribution dans des Mélanges,"Livres d'hommes et de femmes, livres pour les hommes et pour les femmes",,,"Husitstvi-Reformace-Renesance, Sbornik k 60. narozeninam Frantiska Smahela (Mélanges en l'honneur de Frantisek Smahel",,Frantisek Smahel,,1994,Prague,,,,,français,31
73,m,POMIAN,,Krzysztof,Chargé de recherche CNRS,1,,,article de dictionnaire,Cycle,,"J.Le Goff, R.Chartier, J.Revel",La nouvelle histoire,,,La nouvelle histoire,1978,Paris,Retz,,,,français,2
74,m,POMIAN,,Krzysztof,Chargé de recherche CNRS,1,,,article de dictionnaire,Modèle,,"J.Le Goff, R.Chartier, J.Revel",La nouvelle histoire,,,La nouvelle histoire,1978,Paris,Retz,,,,français,2
75,m,POMIAN,,Krzysztof,Chargé de recherche CNRS,1,,,article de dictionnaire,Périodisation,,"J.Le Goff, R.Chartier, J.Revel",La nouvelle histoire,,,La nouvelle histoire,1978,Paris,Retz,,,,français,3
76,f,DUCREUX,LAKITS,Marie-Elisabeth,Chargé de recherche CNRS,1,,,contribution dans un livre collectif,Les Tchèques et leur histoire,,A. Mares,L'Histoire et les historiens en Europe Centrale et Orientale après 1989,,,,1996,Paris,L'Harmattan,,,,français,
77,m,POMIAN,,Krzysztof,Chargé de recherche CNRS,1,,,article de dictionnaire,Histoire des structures,,"J.Le Goff, R.Chartier, J.Revel",La nouvelle histoire,,,La nouvelle histoire,1978,Paris,Retz,,,,français,26
78,m,POMIAN,,Krzysztof,Chargé de recherche CNRS,1,,,contribution dans un livre collectif,Le thomisme et les transformations de la philosophie européenne aux 19e et 20e siècles,,S.Swiezawski et J.Czerkawski,Etudes d'histoire de la pensée de Saint-Thomas d'Aquin,,,,1978,Lublin (Pologne),Towarzystwo Naukowe KUL,,,,polonais,15
79,m,BERLIOZ,,Jacques,Chargé de recherche CNRS,1,,,contribution dans des Mélanges,Le bourdon vole au sabbat,,,Recueil d'études et de documents en mémoire de Charles Joisten.  Le Monde alpin et rhodanien,,Charles Joisten,,1992,,,,,,français,6
80,f,DEMELAS,BOHY,Marie-Danièle,Chargé de recherche CNRS,1,,,article dans des actes de colloque,L'école et la république. Les projets scolaires des premiers dirigeants de l'Equateur (1833-1875),,,Actes du Colloque L'enseignement primaire en Espagne et en Amérique latine du XVIIIe siècle à nos jours,,,,1987,Tours,Publications de l'université de Tours,,,,français,8
81,m,CARRIÉ,,Jean-Michel,Directeur d'études EHESS,1,,,contribution dans un livre collectif,Les échanges commerciaux et l'Etat antique tardif,,?,Les Échanges dans l'Antiquité : le rôle de l'Etat,,,,1994,Saint-Bertrand de Comminges,,Entretiens d'archéologie et d'histoire,,,français,37
82,f,DUCREUX,LAKITS,Marie-Elisabeth,Chargé de recherche CNRS,1,,,article dans une revue,Cteni a vztah ke kniham u podezrelych z kacirstvi v Cechach 18.stoleti,"Acta Universitatis Carolinae, Historia Universitatis Carolinae Pragensis, 1992",,,,,,1994,Prague,,,,,tchèque,30
83,m,DEWERPE,,Alain,Directeur d'études EHESS,1,,,contribution dans un livre collectif,"Maestranze operaie e quadri tecnici, 1903-1914",,P. Hertner,Storia dell'Ansaldo. 3. Dai Bombrini ai Perrone 1903-1914,,,,1996,Bari,Laterza,,,,italien,24
84,m,BURGUIERE,,André,Directeur d'études EHESS,1,,,article dans des actes de colloque,La problématique de la singularité française,,,"Actes du Colloque L'identité française, Copenhague 1988",,,,1988,Copenhague,Akademisk Forlag,,,,français,12
85,f,DEMELAS,BOHY,Marie-Danièle,Chargé de recherche CNRS,1,,,article dans des actes de colloque,Le vote indien dans les Andes pendant la période révolutionnaire (1810-1815),,,Actes du Colloque Le Noir et l'Indien dans la mentalité coloniale de l'Amérique espagnole,,,,1987,,"Les Langues néo-latines, 261",,,,français,20
86,m,DEWERPE,,Alain,Directeur d'études EHESS,1,,,contribution dans un livre collectif,L'organizzazione del lavoro,,G. Mori,"Storia dell'Ansaldo. 2. La costruzione di una grande impresa, 1883-1902,",,,,1995,Bari,Laterza,,,,italien,28
87,m,POMIAN,,Krzysztof,Chargé de recherche CNRS,1,,,article de dictionnaire,Histoire des sciences,,"J.Le Goff, R.Chartier, J.Revel",La nouvelle histoire,,,La nouvelle histoire,1978,Paris,Retz,,,,français,4
88,m,PETER,,Jean-Pierre,Directeur d'études EHESS,1,,,contribution dans des Mélanges,"Aux sources de la médicalisation, le regard et le mot : le travail des topographies médicales",,,"Population et Culture, Etudes en l'honneur de François Lebrun",,François Lebrun,,1989,Rennes,AFL,,,,français,9
89,f,DUCREUX,,Marie-Elisabeth,Chargé de recherche CNRS,1,,,contribution dans un livre collectif,Reading unto Death : Books and Readers in Eighteenth-Century Bohemia,,R.Chartier,The Culture of Print,,,,1989,Princeton,,,,,anglais,39
90,m,MERINO,,J.P.,Attaché de recherche CNRS,1,,,contribution dans un livre collectif,Rios Rosas,,?,Madrid,,,,1980,,Espara-Calpe,,,,espagnol,
91,m,PETER,,Jean-Pierre,Directeur d'études EHESS,1,,,contribution dans un livre collectif,"Franz Anton Mesmer (1734-1814), Mémoire sur la découverte du magnétisme",,,En Français dans le Texte,,,,1990,Paris,Bibliothèque nationale,,,,français,
92,m,BURGUIERE,,André,Directeur d'études EHESS,1,,,contribution dans un livre collectif,"Le Prêtre, le Prince et la Famille",,"A.Burguière, C.Klapisch, M.Segalen et F.Zonabend",Histoire de la Famille,,,,1986,Paris,Armand Colin,,,,français,1292
93,m,EMPTOZ,,Gérard,Directeur d'études EHESS,1,,,article dans une revue,Des colorants à une grande école d'ingénieurs: la carrière de Paul Schutzenberger (1829-1897),Bulletin de la société industrielle de Mulhouse,,"La Chimie et l'Alsace de 1850 à 1920,",,,,1994,,,,,,français,1
94,m,NORA,,Pierre,Directeur d'études EHESS,1,,,article de dictionnaire,Michelet,,"J.Le Goff, R.Chartier, J.Revel",La nouvelle histoire,,,La nouvelle histoire,1978,Paris,Retz,,,,français,5
95,m,NORA,,Pierre,Directeur d'études EHESS,1,,,article de dictionnaire,Présent,,"J.Le Goff, R.Chartier, J.Revel",La nouvelle histoire,,,La nouvelle histoire,1978,Paris,Retz,,,,français,6
96,m,LEPETIT,,Bernard,Directeur d'études EHESS,1,,,article dans des actes de colloque,"Blasement, valence positive et normes techniques",,,"Actes du colloque Simmel, penseur des normes sociales, Paris, 16-17 décembre 1993",,,,1996,Paris,L'Harmattan,,,,français,
97,m,COURBIN,,Paul,Directeur d'études EHESS,1,,,contribution dans un livre collectif,L'Oikos de Naxiens,,?,Exploration Archéologique de Délos,,,,1978,,,,,,français,
98,f,LOOSFELT,,Muriel,Ingénieur d'études CNRS,1,,,contribution dans des Mélanges,"Le visage de la femme et le réalisme socialiste dans l'oeuvre de Roger Vailland, 1945-1953",,,"De Russie et d'ailleurs. Feux croisés sur l'histoire. Pour Marc Ferro,",,Marc Ferro,,1995,Paris,Institut d'études slaves,,,,français,
99,m,COURBIN,,Paul,Directeur d'études EHESS,1,,,article dans des actes de colloque,Guide A 9 du Congrès international de l'U.I.S.P.P.,,,Congrès international de l'U.I.S.P.P.,,,,1976,,,,,,français,5
100,f,DEMELAS,BOHY,Marie-Danièle,Chargé de recherche CNRS,1,,,article dans des actes de colloque,La politica de los prelados. El alto clero y el absolutismo,,,Actes du Colloque America latina : dallo stato coloniale allo stato nazione,,,,1988,Milan,,,,,espagnol,13
101,m,BURGUIERE,,André,Directeur d'études EHESS,1,,,contribution dans un livre collectif,"La déstabilisation de la société, 1759-1789",,J. Dupâquier,L'Histoire de la population française,,,,1987,Paris,PUF,,,,français,19
102,m,COURBIN,,Paul,Directeur d'études EHESS,1,,,article dans une revue,Rapports annuels sur les fouilles de Ras-el-Bassit,Annales Archéologiques Arabes de Syrie,,,,,,1974,,,,,,français,
103,m,PESEZ,,Jean-Marie,Directeur d'études EHESS,1,,,article de dictionnaire,Histoire de la culture matérielle,,"J.Le Goff, R.Chartier, J.Revel",La nouvelle histoire,,,La nouvelle histoire,1978,Paris,Retz,,,,français,33
104,m,LEPETIT,,Bernard,Directeur d'études EHESS,1,,,contribution dans un livre collectif,Les Annales : portrait de groupe avec revue,,J. Revel et N. Waechtel,"Une École pour les sciences sociales,",,,,1996,Paris,Cerf/EHESS,,,,français,
105,m,EMPTOZ,,Gérard,Directeur d'études EHESS,1,,,article dans des actes de colloque,Relations entre savants et manufacturiers : le cas de la bougie stéarique en France,,A. Herlea,"Science-Technology Relationships. Actes XVIIIth International ICOHTEC Symposium (Paris, 8-13 juillet 1990)",,,,1993,San Francisco,,,,,français,8
106,m,EMPTOZ,,Gérard,Directeur d'études EHESS,3,"Cl. Fontanon, et J.-F. Archieri",,contribution dans un livre collectif,Le fer dans l'enseignement du Conservatoire des arts et métiers,,F. Seitz,"Architecture et métal en France, l9e-20e siècles",,,,1994,Paris,EHESS,,,,français,16
